rank,word_fr,word_es
453,"Prendre (conditionnel)","(Tomar) Tomaría, tomarías, tomaría, tomaríamos, tomaríais, tomarían"
454,"Mettre (conditionnel)","(Poner) Pondría, pondrías, pondría, pondríamos, pondríais, pondrían"
455,"Dire (conditionnel)","(Decir) Diría, dirías, diría, diríamos, diríais, dirían"
456,"Nous donnerions tout pour réussir","(Dar) Daríamos todo para tener éxito"
457,"Vous vendriez votre voiture ?","(Vender) ¿Venderíais vuestro coche?"
458,"Ils recevraient un cadeau","(Recibir) Recibirían un regalo"
459,"Réussir","Tener éxito"
460,"Donner (conditionnel)","(Dar) Daría, darías, daría, daríamos, daríais, darían"
461,"Vendre (conditionnel)","(Vender) Vendería, venderías, vendería, venderíamos, venderíais, venderían"
462,"Recevoir (conditionnel)","(Recibir) Recibiría, recibirías, recibiría, recibiríamos, recibiríais, recibirían"
463,"J\'aimerais voyager autour du monde","(Gustar) Me gustaría viajar alrededor del mundo"
464,"Tu vivrais à la campagne si tu pouvais","(Vivir) Vivirías en el campo si pudieras"
465,"Il visiterait les plus beaux paysages","(Visitar) Visitaría los paisajes más hermosos"
466,"Voyager","Viajar"
467,"Campagne","Campo"
468,"Paysages","Paisajes"
469,"Aimer (conditionnel)","(Gustar) Me gustaría, te gustaría, le gustaría, nos gustaría, os gustaría, les gustaría"
470,"Vivre (conditionnel)","(Vivir) Viviría, vivirías, viviría, viviríamos, viviríais, vivirían"
471,"Visiter (conditionnel)","(Visitar) Visitaría, visitarías, visitaría, visitaríamos, visitaríais, visitarían"
472,"Nous avons aimé ce film","(Gustar) Nos ha gustado esta película"
473,"Vous avez vécu une expérience inoubliable","(Vivir) Habéis vivido una experiencia inolvidable"
474,"Ils ont visité plusieurs pays","(Visitar) Han visitado varios países"
475,"Film","Película"
476,"Expérience inoubliable","Experiencia inolvidable"
477,"Plusieurs pays","Varios países"
478,"Avoir aimé (passé composé)","(Gustar) He gustado, has gustado, ha gustado, hemos gustado, habéis gustado, han gustado"
479,"Avoir vécu (passé composé)","(Vivir) He vivido, has vivido, ha vivido, hemos vivido, habéis vivido, han vivido"
480,"Avoir visité (passé composé)","(Visitar) He visitado, has visitado, ha visitado, hemos visitado, habéis visitado, han visitado"
481,"Je sais que tu as raison","(Saber) Sé que tienes razón"
482,"Tu connais cette chanson ?","(Conocer) ¿Conoces esta canción?"
483,"Il a appris la leçon","(Aprender) Aprendió la lección"
484,"Raison","Razón"
485,"Chanson","Canción"
486,"Savoir (présent)","(Saber) Sé, sabes, sabe, sabemos, sabéis, saben"
487,"Connaître (présent)","(Conocer) Conozco, conoces, conoce, conocemos, conocéis, conocen"
488,"Apprendre (présent)","(Aprender) Aprendo, aprendes, aprende, aprendemos, aprendéis, aprenden"
489,"Nous avons su la vérité","(Saber) Hemos sabido la verdad"
490,"Vous avez connu des gens intéressants","(Conocer) Habéis conocido gente interesante"
491,"Ils ont appris beaucoup de choses","(Aprender) Han aprendido muchas cosas"
492,"Vérité","Verdad"
493,"Gens intéressants","Gente interesante"
494,"Beaucoup de choses","Muchas cosas"
495,"Avoir su (passé composé)","(Saber) He sabido, has sabido, ha sabido, hemos sabido, habéis sabido, han sabido"
496,"Avoir connu (passé composé)","(Conocer) He conocido, has conocido, ha conocido, hemos conocido, habéis conocido, han conocido"
497,"Avoir appris (passé composé)","(Aprender) He aprendido, has aprendido, ha aprendido, hemos aprendido, habéis aprendido, han aprendido"
498,"Nous voyagerions plus si nous avions l\'argent","(Viajar) Viajaríamos más si tuviéramos el dinero"
499,"Vous liriez ce livre si vous aviez le temps","(Leer) Leeríais este libro si tuvierais el tiempo"
500,"Ils construiraient une maison écologique","(Construir) Construirían una casa ecológica"
501,"Argent","Dinero"
502,"Livre","Libro"
503,"Maison écologique","Casa ecológica"
504,"Voyager (conditionnel)","(Viajar) Viajaría, viajarías, viajaría, viajaríamos, viajaríais, viajarían"
505,"Lire (conditionnel)","(Leer) Leería, leerías, leería, leeríamos, leeríais, leerían"
506,"Construire (conditionnel)","(Construir) Construiría, construirías, construiría, construiríamos, construiríais, construirían"
507,"J\'aurais aimé visiter ce musée","(Visitar) Me habría gustado visitar este museo"
508,"Tu aurais pu gagner la course","(Ganar) Habrías podido ganar la carrera"
509,"Elle aurait dû étudier plus","(Estudiar) Habría debido estudiar más"
510,"Musée","Museo"
511,"Course","Carrera"
512,"Avoir aimé (conditionnel passé)","(Gustar) Me habría gustado, te habría gustado, le habría gustado, nos habría gustado, os habría gustado, les habría gustado"
513,"Avoir pu (conditionnel passé)","(Poder) Habría podido, habrías podido, habría podido, habríamos podido, habríais podido, habrían podido"
514,"Avoir dû (conditionnel passé)","(Deber) Habría debido, habrías debido, habría debido, habríamos debido, habríais debido, habrían debido"
515,"Nous aurions voulu rester plus longtemps","(Quedarse) Habríamos querido quedarnos más tiempo"
516,"Vous auriez préféré la montagne","(Preferir) Habríais preferido la montaña"
517,"Ils auraient appris l\'espagnol s\'ils avaient eu le temps","(Aprender) Habrían aprendido español si hubieran tenido tiempo"
518,"Plus longtemps","Más tiempo"
519,"Montagne","Montaña"
520,"Avoir voulu (conditionnel passé)","(Querer) Habría querido, habrías querido, habría querido, habríamos querido, habríais querido, habrían querido"
521,"Avoir préféré (conditionnel passé)","(Preferir) Habría preferido, habrías preferido, habría preferido, habríamos preferido, habríais preferido, habrían preferido"
522,"Avoir appris (conditionnel passé)","(Aprender) Habría aprendido, habrías aprendido, habría aprendido, habríamos aprendido, habríais aprendido, habrían aprendido"
523,"J\'aurais fait ce gâteau si j\'avais eu les ingrédients","(Hacer) Habría hecho este pastel si hubiera tenido los ingredientes"
524,"Tu aurais dit la vérité à ma place ?","(Decir) ¿Habrías dicho la verdad en mi lugar?"
525,"Il aurait pris le train s\'il avait su","(Tomar) Habría tomado el tren si hubiera sabido"
526,"Ingrédients","Ingredientes"
527,"À ma place","En mi lugar"
528,"Avoir fait (conditionnel passé)","(Hacer) Habría hecho, habrías hecho, habría hecho, habríamos hecho, habríais hecho, habrían hecho"
529,"Avoir dit (conditionnel passé)","(Decir) Habría dicho, habrías dicho, habría dicho, habríamos dicho, habríais dicho, habrían dicho"
530,"Avoir pris (conditionnel passé)","(Tomar) Habría tomado, habrías tomado, habría tomado, habríamos tomado, habríais tomado, habrían tomado"
531,"Nous serions allés à la plage s\'il avait fait beau","(Ir) Habríamos ido a la playa si hubiera hecho buen tiempo"
532,"Vous auriez vu ce film si vous aviez eu le temps","(Ver) Habríais visto esta película si hubierais tenido tiempo"
533,"Ils auraient mangé au restaurant s\'ils avaient eu de l\'argent","(Comer) Habrían comido en el restaurante si hubieran tenido dinero"
534,"Beau temps","Buen tiempo"
535,"Restaurant","Restaurante"
536,"Être allé (conditionnel passé)","(Ir) Habría ido, habrías ido, habría ido, habríamos ido, habríais ido, habrían ido"
537,"Avoir vu (conditionnel passé)","(Ver) Habría visto, habrías visto, habría visto, habríamos visto, habríais visto, habrían visto"
538,"Avoir mangé (conditionnel passé)","(Comer) Habría comido, habrías comido, habría comido, habríamos comido, habríais comido, habrían comido"
539,"J\'aurais aimé voyager plus","(Viajar) Me habría gustado viajar más"
540,"Tu aurais dû dormir plus tôt","(Dormir) Habrías debido dormir más temprano"
541,"Elle aurait pu réussir si elle avait travaillé dur","(Tener) Habría podido tener éxito si hubiera trabajado duro"
542,"Dormir plus tôt","Dormir más temprano"
543,"Travailler dur","Trabajar duro"
544,"Nous aurions voulu apprendre le japonais","(Aprender) Habríamos querido aprender japonés"
545,"Vous auriez préféré rester à la maison","(Quedarse) Habríais preferido quedaros en casa"
546,"Ils auraient dû étudier plus","(Estudiar) Habrían debido estudiar más"
547,"Japonais","Japonés"
548,"Rester à la maison","Quedarse en casa"
549,"Étudier plus","Estudiar más"
550,"J\'ai mangé une pomme hier","(Comer) Comí una manzana ayer"
551,"Hier","Ayer"
552,"Manger (passé simple)","(Comer) Comí, comiste, comió, comimos, comisteis, comieron"
553,"Tu bus un verre d\'eau","(Beber) Bebiste un vaso de agua"
554,"Elle partit tôt ce matin","(Partir) Partió temprano esta mañana"
555,"Boire (passé simple)","(Beber) Bebí, bebiste, bebió, bebimos, bebisteis, bebieron"
556,"Partir (passé simple)","(Partir) Partí, partiste, partió, partimos, partisteis, partieron"
557,"Verre d\'eau","Vaso de agua"
558,"Tôt ce matin","Temprano esta mañana"
559,"Nous allâmes au cinéma","(Ir) Fuimos al cine"
560,"Vous fîtes un gâteau délicieux","(Hacer) Hicisteis un pastel delicioso"
561,"Ils virent un beau coucher de soleil","(Ver) Vieron una hermosa puesta de sol"
562,"Aller (passé simple)","(Ir) Fui, fuiste, fue, fuimos, fuisteis, fueron"
563,"Faire (passé simple)","(Hacer) Hice, hiciste, hizo, hicimos, hicisteis, hicieron"
564,"Voir (passé simple)","(Ver) Vi, viste, vio, vimos, visteis, vieron"
565,"Cinéma","Cine"
566,"Délicieux","Delicioso"
567,"Coucher de soleil","Puesta de sol"
568,"Je lus un livre intéressant","(Leer) Leí un libro interesante"
569,"Tu écrivis une belle lettre","(Escribir) Escribiste una hermosa carta"
570,"Il prit le train pour Paris","(Tomar) Tomó el tren para París"
571,"Lire (passé simple)","(Leer) Leí, leíste, leyó, leímos, leísteis, leyeron"
572,"Écrire (passé simple)","(Escribir) Escribí, escribiste, escribió, escribimos, escribisteis, escribieron"
573,"Prendre (passé simple)","(Tomar) Tomé, tomaste, tomó, tomamos, tomasteis, tomaron"
574,"Intéressant","Interesante"
575,"Belle lettre","Hermosa carta"
576,"Train pour Paris","Tren para París"
577,"Nous dîmes au revoir","(Decir) Dijimos adiós"
578,"Vous mîtes la table","(Poner) Pusisteis la mesa"
579,"Ils eurent une bonne idée","(Tener) Tuvieron una buena idea"
580,"Dire (passé simple)","(Decir) Dije, dijiste, dijo, dijimos, dijisteis, dijeron"
581,"Mettre (passé simple)","(Poner) Puse, pusiste, puso, pusimos, pusisteis, pusieron"
582,"Avoir (passé simple)","(Tener) Tuve, tuviste, tuvo, tuvimos, tuvisteis, tuvieron"
583,"Au revoir","Adiós"
584,"Bonne idée","Buena idea"
585,"Je vins à la fête","(Venir) Vine a la fiesta"
586,"Tu fus surpris par la nouvelle","(Ser) Fuiste sorprendido por la noticia"
587,"Elle sut la vérité","(Saber) Supo la verdad"
588,"Venir (passé simple)","(Venir) Vine, viniste, vino, vinimos, vinisteis, vinieron"
589,"Être (passé simple)","(Ser) Fui, fuiste, fue, fuimos, fuisteis, fueron"
590,"Savoir (passé simple)","(Saber) Supe, supiste, supo, supimos, supisteis, supieron"
591,"Surpris","Sorprendido"
592,"Nouvelle (information)","Noticia"
593,"Nous pûmes résoudre le problème","(Poder) Pudimos resolver el problema"
594,"Vous voulûtes partir tôt","(Querer) Quisisteis partir temprano"
595,"Ils durent travailler dur","(Tener que) Tuvieron que trabajar duro"
596,"Pouvoir (passé simple)","(Poder) Pude, pudiste, pudo, pudimos, pudisteis, pudieron"
597,"Vouloir (passé simple)","(Querer) Quise, quisiste, quiso, quisimos, quisisteis, quisieron"
598,"Devoir (passé simple)","(Deber) Tuve que, tuviste que, tuvo que, tuvimos que, tuvisteis que, tuvieron que"
599,"Résoudre le problème","(Resolver) Resolver el problema"
600,"Je souhaite qu\'il vienne","(Desear) Deseo que venga"
601,"Tu espères qu\'il pleuve","(Esperar) Esperas que llueva"
602,"Elle veut que nous partions","(Querer) Quiere que nos vayamos"
603,"Souhaiter (présent)","(Desear) Deseo, deseas, desea, deseamos, deseáis, desean"
604,"Espérer (présent)","(Esperar) Espero, esperas, espera, esperamos, esperáis, esperan"
605,"Vouloir (présent)","(Querer) Quiero, quieres, quiere, queremos, queréis, quieren"
606,"Venir (subjonctif présent)","(Venir) Venga, vengas, venga, vengamos, vengáis, vengan"
607,"Pleuvoir (subjonctif présent)","(Llover) Llueva"
608,"Partir (subjonctif présent)","(Ir) Vaya, vayas, vaya, vayamos, vayáis, vayan"
609,"Nous demandons qu\'ils finissent le travail","(Pedir) Pedimos que terminen el trabajo"
610,"Vous craignez qu\'il soit trop tard","(Temer) Teméis que sea demasiado tarde"
611,"Ils doutent que ce soit possible","(Dudar) Dudan que sea posible"
612,"Demander (présent)","(Pedir) Pido, pides, pide, pedimos, pedís, piden"
613,"Craindre (présent)","(Temer) Temo, temes, teme, tememos, teméis, temen"
614,"Douter (présent)","(Dudar) Dudo, dudas, duda, dudamos, dudáis, dudan"
615,"Finir (subjonctif présent)","(Terminar) Termine, termines, termine, terminemos, terminéis, terminen"
616,"Être (subjonctif présent)","(Ser) Sea, seas, sea, seamos, seáis, sean"
617,"Trop tard","Demasiado tarde"
618,"Je préfère que tu restes","(Preferir) Prefiero que te quedes"
619,"Tu suggères que nous allions au parc","(Sugerir) Sugieres que vayamos al parque"
620,"Il faut qu\'elle lise ce livre","(Ser necesario) Es necesario que lea este libro"
621,"Préférer (présent)","(Preferir) Prefiero, prefieres, prefiere, preferimos, preferís, prefieren"
622,"Suggérer (présent)","(Sugerir) Sugiero, sugieres, sugiere, sugerimos, sugerís, sugieren"
623,"Il faut que","(Ser necesario) Es necesario que"
624,"Rester (subjonctif présent)","(Quedarse) Quede, quedes, quede, quedemos, quedéis, queden"
625,"Aller (subjonctif présent)","(Ir) Vaya, vayas, vaya, vayamos, vayáis, vayan"
626,"Lire (subjonctif présent)","(Leer) Lea, leas, lea, leamos, leáis, lean"
627,"Nous sommes contents qu\'ils réussissent","(Estar) Estamos contentos de que tengan éxito"
628,"Vous regrettez qu\'il pleuve","(Lamentar) Lamentáis que llueva"
629,"Ils espèrent que tout aille bien","(Esperar) Esperan que todo vaya bien"
630,"Être content (présent)","(Estar) Estoy contento, estás contento, está contento, estamos contentos, estáis contentos, están contentos"
631,"Regretter (présent)","(Lamentar) Lamento, lamentas, lamenta, lamentamos, lamentáis, lamentan"
632,"Espérer (présent)","(Esperar) Espero, esperas, espera, esperamos, esperáis, esperan"
633,"Réussir (subjonctif présent)","(Tener éxito) Tenga éxito, tengas éxito, tenga éxito, tengamos éxito, tengáis éxito, tengan éxito"
634,"Pleuvoir (subjonctif présent)","(Llover) Llueva"
635,"Aller (subjonctif présent)","(Ir) Vaya, vayas, vaya, vayamos, vayáis, vayan"
636,"Tout aille bien","(Ir bien) Todo vaya bien"
637,"Je doute qu\'il sache la vérité","(Dudar) Dudo que sepa la verdad"
638,"Tu crains qu\'elle ne vienne pas","(Temer) Temes que no venga"
639,"Il est possible qu\'il neige demain","(Ser posible) Es posible que nieve mañana"
640,"Douter (présent)","(Dudar) Dudo, dudas, duda, dudamos, dudáis, dudan"
641,"Craindre (présent)","(Temer) Temo, temes, teme, tememos, teméis, temen"
642,"Il est possible que","(Ser posible) Es posible que"
643,"Savoir (subjonctif présent)","(Saber) Sepa, sepas, sepa, sepamos, sepáis, sepan"
644,"Venir (subjonctif présent)","(Venir) Venga, vengas, venga, vengamos, vengáis, vengan"
645,"Neiger (subjonctif présent)","(Nevar) Nieve"
646,"Nous voulons qu\'ils comprennent","(Querer) Queremos que comprendan"
647,"Vous souhaitez qu\'il fasse beau","(Desear) Deseáis que haga buen tiempo"
648,"Ils attendent que le train arrive","(Esperar) Esperan que llegue el tren"
649,"Vouloir (présent)","(Querer) Quiero, quieres, quiere, queremos, queréis, quieren"
650,"Souhaiter (présent)","(Desear) Deseo, deseas, desea, deseamos, deseáis, desean"
